,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Lifehacker.com'}",Jeff Somers,Why a Tiny House Might Not Be As Affordable As You Think,"Tiny houses—typically defined as any primary dwelling under 500 square feet in size (the average tiny house is about 225 square feet)—have been a thing for a while now. There are even entire TV reality shows dedicated to folks searching for, building, and buy…",https://lifehacker.com/why-a-tiny-house-might-not-be-as-affordable-as-you-thin-1849847134,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/b94911e4e1471306b1d647bfbf65b637.jpg",2022-12-02T19:00:00Z,Tiny housestypically defined as any primary dwelling under 500 square feet in size (the average tiny house is about 225 square feet)have been a thing for a while now. There are even entire TV reality… [+5890 chars]
1,"{'id': 'engadget', 'name': 'Engadget'}",Mariella Moon,Russian tech giant Yandex reportedly looking to break free from its home country,"Over the past years, Russian search and tech giant Yandex made an effort not to fall behind its Western counterparts and had developed its own smart devices, self-driving cars, as well as its own food delivery and ride-sharing services, among other products. …",https://www.engadget.com/russian-tech-giant-yandex-cut-ties-russia-113131537.html,https://s.yimg.com/os/creatr-uploaded-images/2022-11/a2e873a0-6ca5-11ed-af39-0258c47c4d1c,2022-11-25T12:16:31Z,"Over the past years, Russian search and tech giant Yandex made an effort not to fall behind its Western counterparts and had developed its own smart devices, self-driving cars, as well as its own foo… [+1637 chars]"
2,"{'id': 'wired', 'name': 'Wired'}",Gina Neff,The Internet Is at Risk of Driving Women Away,"If harassment isn’t tackled soon, many women will go permanently offline to avoid online abuse.",https://www.wired.com/story/online-harassment-women-internet/,"https://media.wired.com/photos/639cf4c9cef3e2702335bec3/191:100/w_1280,c_limit/01_The-internet-will-be-poorer-without-women.jpg",2022-12-19T12:00:00Z,"Unless we act, 2023 will be the year that women leave the internet. Women already face enormous risks online. A Pew Research report of a US survey shows that one-third of young women report having be… [+3995 chars]"
3,"{'id': 'wired', 'name': 'Wired'}",Antara Haldar,The Case That Foreshadowed the Lessons of the FTX Collapse,"Before there was SBF, there was another “ethical crusader” who learned the same hard truths about the technology of trust.",https://www.wired.com/story/cryptocurrency-sbf-ftx-microfinance/,"https://media.wired.com/photos/63a2366d2b5612eae8066cbc/191:100/w_1280,c_limit/ftx-finance-sam-bankman-fried.jpg",2022-12-21T14:00:00Z,"For the past three seemingly glorious years, the 30-year-old boy wonder Sam Bankman-Fried, or SBF, crowned the King of Crypto, bore an uncanny resemblance to the legendary character Robin Hood. Using… [+4839 chars]"
4,"{'id': 'wired', 'name': 'Wired'}",Carlos Gonzalez-Cadenas,Transformative Businesses Are Born in Tough Times,"What with war, layoffs, and climate collapse, it’s easy to be pessimistic—but downturns often breed the most enduring companies.",https://www.wired.com/story/business-economy-startups/,"https://media.wired.com/photos/63a08061fd7f2c34ab1d714a/191:100/w_1280,c_limit/04_World-beaters-are-born-in-the-toughest-times.jpg",2022-12-24T12:00:00Z,"Its been a rough year for entrepreneurs. Funding has been tight, top-flight leaders have been harder to lure away from secure corporate jobs, and marketing and discretionary spending has been at a st… [+3813 chars]"
5,"{'id': 'the-verge', 'name': 'The Verge'}",Mitchell Clark,Crypto finance firm BlockFi files for bankruptcy following the fall of FTX,"BlockFi has filed for Chapter 11 bankruptcy after FTX, an exchange that it had “significant exposure to” folded in early November. The crypto lender had already been struggling as crypto prices fell throughout the year.",https://www.theverge.com/2022/11/28/23460543/blockfi-ftx-chapter-11-bankruptcy-crypto,https://cdn.vox-cdn.com/thumbor/ejx8--qQQFRjwwm-VssKCmvYabM=/0x0:2040x1360/1200x628/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/23587766/acastro_220524_STK428_0002.jpg,2022-11-28T15:59:00Z,"Crypto finance firm BlockFi files for bankruptcy following the fall of FTX
Crypto finance firm BlockFi files for bankruptcy following the fall of FTX
 / The contagion of failed crypto firms has cla… [+2747 chars]"
6,"{'id': 'the-verge', 'name': 'The Verge'}",Elizabeth Lopatto,Who’s snitching on the big crypto group chat?,Two stories about a group chat where the heads of major exchanges coordinated appeared within hours of each other. Who benefits?,https://www.theverge.com/2022/12/9/23502193/ftx-alameda-binance-kraken-tether-exchange-texts,https://cdn.vox-cdn.com/thumbor/ejx8--qQQFRjwwm-VssKCmvYabM=/0x0:2040x1360/1200x628/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/23587766/acastro_220524_STK428_0002.jpg,2022-12-09T20:57:28Z,"How much is that group chat in the window? | Illustration by Alex Castro / The Verge

 

 I have been somewhat unsure of what to make about The Wall Street Journal and The New York Times’ reports ab… [+6829 chars]"
7,"{'id': None, 'name': 'Gizmodo.com'}",Thomas Germain,I Made ChatGPT Plan My Christmas,"As 2022 stumbles towards its conclusion, Christmas time is with us once again. I’m warming my feet by the fireplace, the family dog is drifting off to sleep beside me, and the sounds of a petty argument between my brother and sister waft in gently from the ot…",https://gizmodo.com/what-a-chatbot-ai-recommends-for-planning-christmas-1849926975,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/e2d8ea2303baef61a89bd4bda12acc77.jpg",2022-12-23T21:49:00Z,"Whats Christmas time without a little song? I asked the AI to write a Christmas carol about Sam Bankman Fried. Now, ChatGPT doesnt have access to the latest news, so the cheery little holiday tune do… [+1289 chars]"
8,"{'id': None, 'name': 'Gizmodo.com'}",Kyle Barr,Hackers Exploit a DeFi Project to Mint 4 Quadrillion Crypto Tokens,"Just how far will hackers go to eek out a profit from a crypto entity? In one DeFi projects’ case, those looking to exploit found they could make a pretty penny by simply telling the system to mint a quadrillion crypto tokens.Read more...",https://gizmodo.com/defi-hackers-binance-crypto-1849846635,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/68a5f2b779d20edddf7936e950487871.jpg",2022-12-02T17:50:00Z,"Just how far will hackers go to eek out a profit from a crypto entity? In one DeFi projects case, those looking to exploit found they could make a pretty penny by simply telling the system to mint a … [+3680 chars]"
9,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Scott Morrison: Former Australian PM censured over secret ministries,Scott Morrison has been formally condemned by MPs for giving himself extra powers while in office.,https://www.bbc.co.uk/news/world-australia-63790719,https://ichef.bbci.co.uk/news/1024/branded_news/154F2/production/_127828278_gettyimages-1445308011.jpg,2022-11-30T01:25:01Z,"Former Australian Prime Minister Scott Morrison has been censured by the nation's parliament for giving himself secret powers while in office.
The historic motion follows a damning report which said… [+1117 chars]"
